"","color_position","Participant_ID","Condition","condition_str","participant_number","trials_gen.thisTrialN","gen_response_color_index_in_orig_colorbar_space","gen_response_distance_idx","gen_response_distance_dE","gen_signed_distance_idx","trial_within_test_color","idx_for_graph","exemplar_position","color_to_prototype_distance_idx","color_to_prototype_de"
"53",10,"SU23_1000",1,"Light Far",1000,52,14,4,2.20053803069266,4,4,12,52,-42,15
"54",52,"SU23_1000",1,"Light Far",1000,53,39,13,4.07538548350744,-13,3,52,52,0,0
"55",158,"SU23_1000",1,"Light Far",1000,54,204,46,26.0890022689046,46,3,158,158,0,0
"56",185,"SU23_1000",1,"Light Far",1000,55,221,36,22.40446844632,36,3,185,158,27,15
"57",108,"SU23_1000",1,"Light Far",1000,56,56,52,21.1184069684217,-52,3,108,93,15,7
"58",241,"SU23_1000",1,"Light Far",1000,57,219,22,11.01108433217,-22,3,241,226,15,7
"59",158,"SU23_1000",1,"Light Far",1000,58,159,1,0.583524781404395,1,4,160,158,0,0
"60",185,"SU23_1000",1,"Light Far",1000,59,168,17,9.53918044041868,-17,4,187,158,27,15
"61",29,"SU23_1000",1,"Light Far",1000,60,27,2,0.782991355359103,-2,4,31,52,-23,7
"62",226,"SU23_1000",1,"Light Far",1000,61,219,7,4.6749024913049,-7,3,226,226,0,0
"63",108,"SU23_1000",1,"Light Far",1000,62,76,32,14.0761443875026,-32,4,110,93,15,7
"64",133,"SU23_1000",1,"Light Far",1000,63,73,60,28.5785066023559,-60,4,135,158,-25,15
"65",123,"SU23_1000",1,"Light Far",1000,64,73,50,22.9433949469395,-50,4,125,93,30,15
"66",52,"SU23_1000",1,"Light Far",1000,65,34,18,5.56855055496131,-18,4,54,52,0,0
"67",251,"SU23_1000",1,"Light Far",1000,66,229,22,13.9693500414184,-22,4,253,226,25,15
"68",226,"SU23_1000",1,"Light Far",1000,67,228,2,1.31462534419722,2,4,228,226,0,0
"69",146,"SU23_1000",1,"Light Far",1000,68,162,16,9.53311872173206,16,4,148,158,-12,7
"70",170,"SU23_1000",1,"Light Far",1000,69,164,6,3.38143454060384,-6,4,172,158,12,7
"71",241,"SU23_1000",1,"Light Far",1000,70,231,10,4.58384082264774,-10,4,243,226,15,7
"72",76,"SU23_1000",1,"Light Far",1000,71,65,11,4.17858219230991,-11,4,78,93,-17,7
"73",185,"SU23_1000",1,"Light Far",1000,72,198,13,7.65151611135013,13,5,189,158,27,15
"74",93,"SU23_1000",1,"Light Far",1000,73,50,43,16.2846531673015,-43,5,97,93,0,0
"75",108,"SU23_1000",1,"Light Far",1000,74,50,58,22.9923323909453,-58,5,112,93,15,7
"76",158,"SU23_1000",1,"Light Far",1000,75,171,13,7.37983318077952,13,5,162,158,0,0
"77",241,"SU23_1000",1,"Light Far",1000,76,229,12,5.41695871961518,-12,5,245,226,15,7
"78",10,"SU23_1000",1,"Light Far",1000,77,18,8,4.32981112292014,8,5,14,52,-42,15
"79",93,"SU23_1000",1,"Light Far",1000,78,77,16,6.70634041490906,-16,6,99,93,0,0
"80",52,"SU23_1000",1,"Light Far",1000,79,33,19,5.87081035690245,-19,5,56,52,0,0
"81",133,"SU23_1000",1,"Light Far",1000,80,166,33,19.6232472450849,33,5,137,158,-25,15
"82",146,"SU23_1000",1,"Light Far",1000,81,169,23,13.4050827306881,23,5,150,158,-12,7
"83",72,"SU23_1000",1,"Light Far",1000,82,58,14,5.11574653222344,-14,5,76,52,20,7
"84",76,"SU23_1000",1,"Light Far",1000,83,58,18,6.66549511243245,-18,5,80,93,-17,7
"85",29,"SU23_1000",1,"Light Far",1000,84,25,4,1.62749058380606,-4,5,33,52,-23,7
"86",226,"SU23_1000",1,"Light Far",1000,85,230,4,2.61233879273184,4,5,230,226,0,0
"87",203,"SU23_1000",1,"Light Far",1000,86,216,13,8.42320226703444,13,5,207,226,-23,15
"88",185,"SU23_1000",1,"Light Far",1000,87,214,29,17.7696645602889,29,6,191,158,27,15
"89",52,"SU23_1000",1,"Light Far",1000,88,56,4,1.34530917524152,4,6,58,52,0,0
"90",170,"SU23_1000",1,"Light Far",1000,89,202,32,18.4121929835085,32,5,174,158,12,7
"91",10,"SU23_1001",2,"Dark Far",1001,0,10,0,0,0,1,6,52,-42,15
"92",203,"SU23_1001",2,"Dark Far",1001,1,199,4,1.34530917524152,-4,1,199,226,-23,15
"93",158,"SU23_1001",2,"Dark Far",1001,2,157,1,0.461306303442498,-1,1,154,158,0,0
"94",29,"SU23_1001",2,"Dark Far",1001,3,33,4,2.66274915716473,4,1,25,52,-23,7
"95",10,"SU23_1001",2,"Dark Far",1001,4,9,1,0.992418584055833,-1,2,8,52,-42,15
"96",123,"SU23_1001",2,"Dark Far",1001,5,126,3,1.83764674653087,3,1,119,93,30,15
"97",203,"SU23_1001",2,"Dark Far",1001,6,192,11,3.8022941809984,-11,2,201,226,-23,15
"98",158,"SU23_1001",2,"Dark Far",1001,7,160,2,0.911406381676915,2,2,156,158,0,0
"99",52,"SU23_1001",2,"Dark Far",1001,8,85,33,19.0242315631026,33,1,48,52,0,0
"100",185,"SU23_1001",2,"Dark Far",1001,9,190,5,1.86171145882996,5,1,181,158,27,15
"101",146,"SU23_1001",2,"Dark Far",1001,10,151,5,2.49590667463077,5,1,142,158,-12,7
"102",251,"SU23_1001",2,"Dark Far",1001,11,252,1,2.3914883485369,1,1,247,226,25,15
"103",216,"SU23_1001",2,"Dark Far",1001,12,200,16,5.0717555719729,-16,1,212,226,-10,7
"104",76,"SU23_1001",2,"Dark Far",1001,13,108,32,18.1933086422453,32,1,72,93,-17,7
"105",108,"SU23_1001",2,"Dark Far",1001,14,123,15,9.35788819783864,15,1,104,93,15,7
"106",226,"SU23_1001",2,"Dark Far",1001,15,219,7,2.34585354012015,-7,1,222,226,0,0
"107",241,"SU23_1001",2,"Dark Far",1001,16,235,6,3.1642685642444,-6,1,237,226,15,7
"108",185,"SU23_1001",2,"Dark Far",1001,17,166,19,7.66207471719716,-19,2,183,158,27,15
"109",108,"SU23_1001",2,"Dark Far",1001,18,77,31,17.657035991265,-31,2,106,93,15,7
"110",216,"SU23_1001",2,"Dark Far",1001,19,207,9,2.78360496315003,-9,2,214,226,-10,7
"111",72,"SU23_1001",2,"Dark Far",1001,20,89,17,9.52205457426465,17,1,68,52,20,7
"112",93,"SU23_1001",2,"Dark Far",1001,21,126,33,19.8340196076235,33,1,89,93,0,0
"113",72,"SU23_1001",2,"Dark Far",1001,22,107,35,19.7624100036647,35,2,70,52,20,7
"114",146,"SU23_1001",2,"Dark Far",1001,23,162,16,7.59409048890769,16,2,144,158,-12,7
"115",170,"SU23_1001",2,"Dark Far",1001,24,182,12,4.82788714270904,12,1,166,158,12,7
"116",52,"SU23_1001",2,"Dark Far",1001,25,90,38,21.7248589794319,38,2,50,52,0,0
